Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/process_family/05be666f-fcd1-473b-b2b0-49367640a77b/,2,0,102.93929999170359,106.63560000102734,102.93929999170359,110.33190001035109,9146.0,0.003334540401409751,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/process_family/05c3c881-00a4-4832-93a2-0753daf78fa0/,12,0,72,96.77060833443345,26.88200000557117,322.29450000158977,5532.0,0.020007242408458505,0.0,83,93,130,130,200,320,320,320,320,320,320
GET,/process_family/06f5c890-5e80-4e3e-8d6d-f1fb8e398874/,4,0,86,189.27754999822355,83.96269999502692,421.76739999558777,8098.0,0.006669080802819502,0.0,170,170,420,420,420,420,420,420,420,420,420
GET,/process_family/06fe1066-067a-4836-98e3-b67bc9865b45/,12,0,88,167.6577083344455,66.37609998870175,441.48979999590665,8389.0,0.020007242408458505,0.0,90,110,310,310,430,440,440,440,440,440,440
GET,/process_family/071121bd-03b1-4480-a797-17ad6d282e72/,8,0,110.0,260.4868124999484,12.246300000697374,1190.7400000054622,5257.0,0.013338161605639004,0.0,120,230,350,350,1200,1200,1200,1200,1200,1200,1200
GET,/process_family/078d0905-e538-4b1d-a634-9393ebb18bdc/,14,0,63,113.96405714289618,30.743499999516644,416.6625999932876,5746.0,0.023341782809868258,0.0,65,100,100,210,330,420,420,420,420,420,420
GET,/process_family/07d08ef8-886b-4ef2-9ced-1a03ffc1b80c/,7,0,8,100.6519428608174,7.236900011776015,481.8715000001248,4282.0,0.011670891404934129,0.0,8,51,140,140,480,480,480,480,480,480,480
GET,/process_family/07df65a2-2509-4d43-b87a-f142f1da7780/,4,0,42,342.15115000188234,40.36460000497755,1117.7187000139384,7125.0,0.006669080802819502,0.0,170,170,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/process_family/083ce1ac-fcd6-4ebc-952a-52314d820938/,2,0,88.16510000906419,206.8485000054352,88.16510000906419,325.5319000018062,6497.0,0.003334540401409751,0.0,330,330,330,330,330,330,330,330,330,330,330
GET,/process_family/08ac67cc-9874-4cf5-9937-8e081309b000/,9,0,270.0,299.96230000203167,96.77679999731481,716.8241000035778,7919.0,0.01500543180634388,0.0,270,300,400,540,720,720,720,720,720,720,720
GET,/process_family/08dcb554-aef6-43a4-aa91-432c86d060c0/,16,0,130.0,182.4748749995706,28.030100002069958,841.7283999879146,5514.0,0.026676323211278007,0.0,130,170,260,260,320,840,840,840,840,840,840
GET,/process_family/090e281b-b6d8-4c52-b696-aaca3fde5791/,10,0,81,110.76739999843994,21.617499995045364,306.5015000029234,5792.0,0.016672702007048755,0.0,96,110,150,260,310,310,310,310,310,310,310
GET,/process_family/0916f1e4-4309-44fd-a9f2-c70187eb811e/,3,0,34,58.104433332725115,27.116600002045743,112.93099999602418,6239.0,0.005001810602114626,0.0,34,34,110,110,110,110,110,110,110,110,110
GET,/process_family/09b00776-b404-4378-979f-1a2745087001/,8,0,110.0,306.08322500120266,89.45790000143461,1085.2749000041513,8010.0,0.013338161605639004,0.0,130,350,490,490,1100,1100,1100,1100,1100,1100,1100
GET,/process_family/0a0d5f2d-bbdb-4399-99af-87f28b888fb2/,2,0,172.38599999109283,189.51984999148408,172.38599999109283,206.65369999187533,7339.0,0.003334540401409751,0.0,210,210,210,210,210,210,210,210,210,210,210
GET,/process_family/0a2af640-03f4-42c5-9d0c-400bd0069b1a/,4,0,70,294.0309000041452,44.22010001144372,559.3387000117218,8045.0,0.006669080802819502,0.0,500,500,560,560,560,560,560,560,560,560,560
GET,/process_family/0aaf06c2-a772-4342-8bd1-5b0fab23666d/,4,0,100.53580001113005,145.34740000453894,100.53580001113005,197.97530000505503,9596.0,0.006669080802819502,0.0,180,180,200,200,200,200,200,200,200,200,200
GET,/process_family/0ab3bc56-9e27-400e-a443-46f9186d1c26/,9,0,39,100.53715555760492,31.19130000413861,302.13670000375714,6347.0,0.01500543180634388,0.0,39,40,100,280,300,300,300,300,300,300,300
GET,/process_family/0b1e9c5d-aea7-409e-9030-ecfd8a147f16/,7,0,150.0,166.79248571537235,13.722799994866364,457.28970000345726,5630.0,0.011670891404934129,0.0,150,200,300,300,460,460,460,460,460,460,460
GET,/process_family/0b5a19c9-1d41-42ee-92fb-ae8c2fbeba94/,1,0,105.38920000544749,105.38920000544749,105.38920000544749,105.38920000544749,5795.0,0.0016672702007048755,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/process_family/0b75bbc6-0718-4ec1-9aea-78c5ab908c5e/,8,0,180.0,222.12457500063465,107.95270001108292,357.3808000073768,7481.0,0.013338161605639004,0.0,270,290,300,300,360,360,360,360,360,360,360
GET,/process_family/0b8d06c9-8efe-4215-9bb2-8cc4a4b2e520/,12,0,33,130.77092499831147,26.41089999815449,623.1317000056151,5629.0,0.020007242408458505,0.0,39,69,260,260,310,620,620,620,620,620,620
GET,/process_family/0c2e69a6-e0b8-42e6-92cb-bb568cade4d9/,6,0,130.0,144.06823333411012,66.78130000364035,233.33719999936875,5799.0,0.010003621204229252,0.0,150,150,180,180,230,230,230,230,230,230,230
GET,/process_family/0c6edd61-aebf-42ae-9c23-b218aeb8dcf5/,8,0,92,142.38678750189138,13.328100001672283,288.7489999993704,5183.0,0.013338161605639004,0.0,150,200,270,270,290,290,290,290,290,290,290
GET,/process_family/0c8a5b6e-e1a8-4f89-9a20-045d0f3ea108/,1,0,35.70459999900777,35.70459999900777,35.70459999900777,35.70459999900777,7141.0,0.0016672702007048755,0.0,36,36,36,36,36,36,36,36,36,36,36
GET,/process_family/0ce3609d-9bda-4b69-9483-674fc7c177d1/,2,0,17,55.50214999675518,16.82799999252893,94.17630000098143,4526.0,0.003334540401409751,0.0,94,94,94,94,94,94,94,94,94,94,94
